constituency	name	party
Epping	Rt Hon. Winston Churchill	Constitutionalist
Epsom	Sir Rowland Blades, Bt	Unionist
Essex South East	Herbert Looker	Unionist
Evesham	Rt Hon. Bolton Eyres-Monsell	Unionist
Exeter	Sir Robert Newman, Bt	Unionist
Eye	Lord Huntingfield	Unionist
Fareham	Sir John Davidson	Unionist
Farnham	Arthur Samuel	Unionist
Farnworth	Thomas Greenall	Labour
Faversham	Granville Wheler	Unionist
Fermanagh and Tyrone 	Sir Charles Falls	Ulster Unionist
Fermanagh and Tyrone 	James Pringle	Ulster Unionist
Fife East	Hon. Archibald Cochrane	Unionist
Fife West	Rt Hon. William Adamson	Labour
Finchley	Hon. Edward Cadogan	Unionist
Finsbury	George Gillett	Labour
Flintshire	Ernest Roberts	Unionist
Forest of Dean	James Wignall	Labour
Forfarshire	Harry Hope	Unionist
Frome	Geoffrey Peto	Unionist
Fulham East	Kenyon Vaughan-Morgan	Unionist
Fulham West	Sir Cyril Cobb	Unionist
Fylde	Lord Stanley	Unionist
Gainsborough	Harry Crookshank	Unionist
Galloway	Sir Arthur Henniker-Hughan, Bt	Unionist
Gateshead	John Beckett	Labour
Gillingham	Sir Gerald Hohler	Unionist
Glasgow Bridgeton	James Maxton	Labour
Glasgow Camlachie	Campbell Stephen	Labour
Glasgow Cathcart	Robert Macdonald	Unionist
Glasgow Central	Sir William Alexander	Unionist
Glasgow Gorbals	George Buchanan	Labour
Glasgow Govan	Neil Maclean	Labour
Glasgow Hillhead	Rt Hon. Sir Robert Horne	Unionist
Glasgow Kelvingrove	Walter Elliot	Unionist
Glasgow Maryhill	James Couper	Unionist
Glasgow Partick	Humphrey Broun-Lindsay	Unionist
Glasgow Pollok	Rt Hon. Sir John Gilmour, Bt	Unionist
Glasgow St. Rollox	James Stewart	Labour
Glasgow Shettleston	Rt Hon. John Wheatley	Labour
Glasgow Springburn	George Hardie	Labour
Glasgow Tradeston	Thomas Henderson	Co-operative
Gloucester	James Horlick	Unionist
Gower	David Grenfell	Labour
Grantham	Sir Victor Warrender, Bt	Unionist
Gravesend	Irving Albery	Unionist
Great Yarmouth	Sir Frank Meyer, Bt	Unionist
Greenock	Sir Godfrey Collins	Liberal
Greenwich	Sir George Hume	Unionist
Grimsby	Walter Womersley	Unionist
Guildford	Sir Henry Buckingham	Unionist
Hackney Central	Sir Robert Gower	Unionist
Hackney North	Austin Hudson	Unionist
Hackney South	George Garro-Jones	Liberal
Halifax	Rt Hon. John Henry Whitley	Liberal
Hamilton	Duncan Graham	Labour
Hammersmith North	Ellis Ashmead-Bartlett	Unionist
Hammersmith South	Rt Hon. Sir William Bull, Bt	Unionist
Hampstead	George Balfour	Unionist
Hanley	Samuel Clowes	Labour
Harborough	Lewis Winby	Unionist
Harrow	Isidore Salmon	Unionist
The Hartlepools	Sir Wilfrid Sugden	Unionist
Harwich	Sir Frederick Rice	Unionist
Hastings	Lord Eustace Percy	Unionist
Hemel Hempstead	John Davidson	Unionist
Hemsworth	John Guest	Labour
Hendon	Rt Hon. Sir Philip Lloyd-Greame	Unionist
Henley	Robert Henderson	Unionist
Hereford	Rt Hon. Samuel Roberts	Unionist
Hertford	Murray Sueter	Unionist
Hexham	Douglas Clifton Brown	Unionist
Heywood and Radcliffe	Abraham England	Constitutionalist
High Peak	Sir Samuel Hill-Wood, Bt	Unionist
Hitchin	Guy Kindersley	Unionist
Holborn	Sir James Remnant, Bt	Unionist
Holderness	Samuel Savery	Unionist
Holland-with-Boston	Arthur Dean	Unionist
Honiton	Sir Clive Morrison-Bell, Bt	Unionist
Horncastle	Henry Haslam	Unionist
Hornsey	Euan Wallace	Unionist
Horsham and Worthing	Earl Winterton PC	Unionist
Houghton-le-Spring	Robert Richardson	Labour
Howdenshire	Hon. Stanley Jackson	Unionist
Huddersfield	James Hudson	Labour
Huntingdonshire	Charles Murchison	Unionist
Hythe	Sir Philip Sassoon, Bt	Unionist
Ilford	Sir Fredric Wise	Unionist
Ilkeston	George Oliver	Labour
Ince	Rt Hon. Stephen Walsh	Labour
Inverness-shire	Sir Murdoch Macdonald	Liberal
Ipswich	John Ganzoni	Unionist
Isle of Ely	Sir Hugh Lucas-Tooth, Bt	Unionist
Isle of Thanet	Hon. Esmond Harmsworth	Unionist
Isle of Wight	Peter Macdonald	Unionist
Islington East	Robert Tasker	Unionist
Islington North	Sir Henry Cowan	Unionist
Islington South	William Cluse	Labour
Islington West	Frederick Montague	Labour
Jarrow	Robert John Wilson	Labour
Keighley	Hastings Lees-Smith	Labour
Kennington	George Harvey	Unionist
Kensington North	Percy Gates	Unionist
Kensington South	Sir William Davison	Unionist
Kettering	Sir Mervyn Manningham-Buller, Bt	Unionist
Kidderminster	John Wardlaw-Milne	Unionist
Kilmarnock	Charles MacAndrew	Unionist
King's Lynn	The Lord Fermoy	Unionist
Kingston upon Hull Central	Hon. Joseph Kenworthy	Liberal, then Labour
Kingston upon Hull East	Roger Lumley	Unionist
Kingston upon Hull North West	Lambert Ward	Unionist
Kingston upon Hull South West	Herbert Grotrian	Unionist
Kingston-upon-Thames	George Penny	Unionist
Kingswinford	Charles Sitch	Labour
Kinross & West Perthshire	The Duchess of Atholl	Unionist
Kirkcaldy Burghs	Tom Kennedy	Labour
Knutsford	Ernest Makins	Unionist
Lambeth North	Frank Briant	Liberal
Lanark	Stephen Mitchell	Unionist
Lanarkshire North	Sir Alexander Sprot, Bt	Unionist
Lancaster	Sir Gerald Strickland	Unionist
Leeds Central	Sir Charles Wilson	Unionist
Leeds North	Sir Gervase Beckett, Bt	Unionist
Leeds North East	John Birchall	Unionist
Leeds South	Henry Charleton	Labour
Leeds South East	Sir Henry Slesser	Labour
Leeds West	Thomas Stamford	Labour
Leek	William Bromfield	Labour
Leicester East	John Loder	Unionist
Leicester South	Charles Waterhouse	Unionist
Leicester West	Frederick Pethick-Lawrence	Labour
Leigh	Joe Tinker	Labour
Leith	William Wedgwood Benn	Liberal
Leominster	Ernest Shepperson	Unionist
Lewes	Tufton Beamish	Unionist
Lewisham East	Sir Assheton Pownall	Unionist
Lewisham West	Sir Philip Dawson	Unionist
Leyton East	Ernest Alexander	Unionist
Leyton West	James Cassels	Unionist
Lichfield	Roy Wilson	Unionist
Lincoln	Robert Arthur Taylor	Labour
Linlithgow	James Kidd	Unionist
Liverpool East Toxteth	Albert Jacob	Unionist
Liverpool Edge Hill	Jack Hayes	Labour
Liverpool Everton	Herbert Charles Woodcock	Unionist
Liverpool Exchange	Sir Leslie Scott	Unionist
Liverpool Fairfield	Jack Cohen	Unionist
Liverpool Kirkdale	Sir John Pennefather, Bt	Unionist
Liverpool Scotland	Rt Hon. T. P. O'Connor	Irish Nationalist
Liverpool Walton	Sir Warden Chilcott	Unionist
Liverpool Wavertree	John Tinné	Unionist
Liverpool West Derby	John Sandeman Allen	Unionist
Liverpool West Toxteth	Joseph Gibbins	Labour
Llandaff and Barry	William Cope	Unionist
Llanelly	John Henry Williams	Labour
London University	Ernest Graham-Little	Independent
Londonderry	Sir Malcolm Macnaghten	Ulster Unionist
Lonsdale	Lord Balniel	Unionist
Loughborough	Frank Rye	Unionist
Louth	Arthur Heneage	Unionist
Lowestoft	Gervais Rentoul	Unionist
Ludlow	George Windsor-Clive	Unionist
Luton	Terence O'Connor	Unionist
Macclesfield	John Remer	Unionist
Maidstone	Carlyon Bellairs	Unionist
Maldon	Edward Ruggles-Brise	Unionist
Manchester Ardwick	Thomas Lowth	Labour
Manchester Blackley	Harold Briggs	Unionist
Manchester Clayton	John Sutton	Labour
Manchester Exchange	Edward Fielden	Unionist
Manchester Gorton	Joseph Compton	Labour
Manchester Hulme	Joseph Nall	Unionist
Manchester Moss Side	Gerald Hurst	Unionist
Manchester Miles Platting	Rt Hon. J. R. Clynes	Labour
Manchester Rusholme	Frank Merriman	Unionist
Manchester Withington	Thomas Watts	Unionist
Mansfield	Frank Varley	Labour
Melton	Lindsay Everard	Unionist
Merioneth	Henry Haydn Jones	Liberal
Merthyr	R. C. Wallhead	Labour
Middlesbrough East	Ellen Wilkinson	Labour
Middlesbrough West	Trevelyan Thomson	Liberal
Middleton and Prestwich	Nairne Stewart Sandeman	Unionist
Midlothian North	George Hutchison	Unionist
Midlothian South and Peebles	Joseph Westwood	Labour
Mitcham	Richard Meller	Unionist
Monmouth	Leolin Forestier-Walker	Unionist
Montgomery	David Davies	Liberal
Montrose Burghs	Sir Robert Hutchison	Liberal
Moray & Nairn	Hon. James Stuart	Unionist
Morpeth	Robert Smillie	Labour
Mossley	Austin Hopkinson	Independent
Motherwell	James Barr	Labour
Neath	William Jenkins	Labour
Nelson and Colne	Arthur Greenwood	Labour
Newark	The Marquess of Titchfield	Unionist
Newbury	Howard Clifton Brown	Unionist
Newcastle-under-Lyme	Rt Hon. Josiah Wedgwood	Labour
Newcastle-upon-Tyne Central	Rt Hon. Charles Trevelyan	Labour
Newcastle-upon-Tyne East	Martin Connolly	Labour
Newcastle-upon-Tyne North	Sir Nicholas Grattan-Doyle	Unionist
Newcastle-upon-Tyne West	John Palin	Labour
New Forest and Christchurch	Rt Hon. Wilfred Ashley	Unionist
Newport	Reginald Clarry	Unionist
Newton	Robert Young	Labour
Norfolk East	Reginald Neville	Unionist
Norfolk North	Rt Hon. Noel Buxton	Labour
Norfolk South	James Christie	Unionist
Norfolk South West	Alan McLean	Unionist
Normanton	Frederick Hall	Labour
Northampton	Sir Arthur Holland	Unionist
Northwich	Lord Colum Crichton-Stuart	Unionist
Norwich 	Rt Hon. Hilton Young	Liberal
Norwich 	Griffyth Fairfax	Unionist
Norwood	Walter Greaves-Lord	Unionist
Nottingham Central	Albert Bennett	Unionist
Nottingham East	Edmund Brocklebank	Unionist
Nottingham South	Lord Henry Cavendish-Bentinck	Unionist
Nottingham West	Arthur Hayday	Labour
Nuneaton	Arthur Hope	Unionist
Ogmore	Rt Hon. Vernon Hartshorn	Labour
Oldham 	Duff Cooper	Unionist
Oldham 	Sir Edward Grigg	Liberal
Orkney and Shetland	Sir Robert Hamilton	Liberal
Ormskirk	Francis Blundell	Unionist
Oswestry	Rt Hon. William Bridgeman	Unionist
Oxford	Robert Bourne	Unionist
Oxford University 	Rt Hon. Lord Hugh Cecil	Unionist
Oxford University 	Sir Charles Oman	Unionist
Paddington North	Sir William Perring	Unionist
Paddington South	Douglas King	Unionist
Paisley	Edward Mitchell	Labour
Peckham	Hugh Dalton	Labour
Pembrokeshire	Charles Price	Unionist
Penistone	Rennie Smith	Labour
Penrith and Cockermouth	Arthur Dixey	Unionist
Penryn and Falmouth	George Pilcher	Unionist
Perth	Noel Skelton	Unionist
Peterborough	Sir Henry Brassey, Bt	Unionist
Petersfield	William Graham Nicholson	Unionist
Plymouth Devonport	Leslie Hore-Belisha	Liberal
Plymouth Drake	Sir Arthur Benn	Unionist
Plymouth Sutton	Nancy Astor	Unionist
Pontefract	Christopher Brooke	Unionist
Pontypool	Thomas Griffiths	Labour
Pontypridd	Thomas Mardy Jones	Labour
Poplar South	Samuel March	Labour
Portsmouth Central	Sir Harry Foster	Unionist
Portsmouth North	Sir Bertram Falle, Bt	Unionist
Portsmouth South	Sir Herbert Cayzer, Bt	Unionist
Preston 	Rt Hon. Tom Shaw	Labour
Preston 	Alfred Ravenscroft Kennedy	Unionist
Pudsey and Otley	Sir Francis Watson	Unionist
Putney	Samuel Samuel	Unionist
Queen's University of Belfast	Thomas Sinclair	Ulster Unionist
Reading	Herbert Williams	Unionist
Reigate	Sir George Cockerill	Unionist
Renfrewshire, East	Alexander MacRobert	Unionist
Renfrewshire, West	McInnes Shaw	Unionist
